#separator:Tab
#html:true
#notetype column:1
#tags column:4
Cloze	{{c1::slatkorečivost}} (imenica, ženski rod)<br>– sposobnost ili osobina da se govori na ugodan, umiljat i privlačan način, često s namjerom da se pridobije nečija naklonost ili povjerenje		bcs naski
Cloze	1. Njegova {{c1::slatkorečivost}} je osvojila sve prisutne na sastanku.<br>2. Zahvaljujući svojoj {{c1::slatkorečivosti}}, brzo je zadobila povjerenje klijenata.<br>3. Ponekad ljudi koriste {{c1::slatkorečivost}} kako bi prikrili svoje prave namjere.		bcs naski
Basic (and reversed card)	"<img src=""slatkorečivost_c3b081.png"">"	slatkorečivost	bcs naski
Cloze	{{c1::sudjelovati}} (glagol, nesvršeni)<br>– biti dio nečega, učestvovati u nekoj aktivnosti ili događaju		bcs naski
Cloze	1. Ana redovno {{c1::sudjeluje}} u humanitarnim akcijama.<br>2. Mi smo {{c1::sudjelovali}} u prošlogodišnjem maratonu.<br>3. Planiram {{c1::sudjelovati}} na konferenciji sljedećeg mjeseca.		bcs naski
Basic (and reversed card)	"<img src=""sudjelovati_2bbb49.png"">"	sudjelovati	bcs naski
Cloze	{{c1::primirje}} (imenica, srednji rod)<br>– privremeni prekid neprijateljstava između zaraćenih strana, dogovoren radi pregovora ili postizanja trajnog mira		bcs naski
Cloze	1. Nakon dugih pregovora, zaraćene strane su konačno postigle {{c1::primirje}}.<br>2. Vlada se nada da će ovo {{c1::primirje}} dovesti do trajnog mira u regiji.<br>3. Bez poštovanja odredbi {{c1::primirja}}, sukob može ponovo izbiti.		bcs naski
Basic (and reversed card)	"<img src=""primirje_78249a.png"">"	primirje	bcs naski
Cloze	{{c1::raspolaganje}} (imenica, srednji rod)<br>– čin ili mogućnost upravljanja, korištenja ili odlučivanja o nečemu; kontrola ili nadzor nad resursima ili imovinom		bcs naski
Cloze	1. Imam potpuno {{c1::raspolaganje}} svojim vremenom tokom vikenda.<br>2. Njegovo {{c1::raspolaganje}} budžetom nije bilo adekvatno.<br>3. Ostaviću ti ključeve na {{c1::raspolaganju}} dok sam na putu.		bcs naski
Basic (and reversed card)	"<img src=""raspolaganje_30532d.png"">"	raspolaganje	bcs naski
Cloze	{{c1::izolovan}} (pridjev, muški rod)<br>– odvojen ili izdvojen od drugih, smješten u osamu ili izolaciju; može se odnositi na fizičku ili društvenu odvojenost		bcs naski
Cloze	1. Nakon velikog nevremena, selo je bilo potpuno {{c1::izolovano}} od ostatka svijeta.<br>2. Osjećao se {{c1::izolovanim}} u novom gradu jer nije poznavao nikoga.<br>3. {{c1::Izolovani}} slučajevi zaraze su brzo stavljeni pod kontrolu.		bcs naski
Basic (and reversed card)	"<img src=""izolovan_c0c6bb.png"">"	izolovan	bcs naski
Cloze	{{c1::izrazit}} (prilog)<br>– na način koji je vrlo uočljiv, jasan ili naglašen; u velikoj mjeri		bcs naski
Cloze	1. {{c1::Izrazito}} se trudio da postigne najbolje rezultate na takmičenju.<br>2. Njegova kreativnost je {{c1::izrazita}} i svi to primjećuju.<br>3. U {{c1::izrazitim}} trenucima sreće, njegova radost je bila zarazna.		bcs naski
Basic (and reversed card)	"<img src=""izrazit_54d375.png"">"	izrazit	bcs naski
Cloze	{{c1::poljuljan}} (pridjev, muški rod)<br>– koji je izgubio stabilnost ili ravnotežu; koji je doveden u stanje nesigurnosti ili sumnje		bcs naski
Cloze	1. Nakon teških optužbi, njegov ugled je {{c1::poljuljan}}.<br>2. Vjerujem da su mu temelji {{c1::poljuljani}}, ali još uvijek stoji.<br>3. Oni su pokušali vratiti {{c1::poljuljanu}} vjeru u sistem.		bcs naski
Basic (and reversed card)	"<img src=""poljuljan_e17db9.png"">"	poljuljan	bcs naski
